no,state,days,cases,date,
1,Lagos,1,1,2/27/2020,
2,Ogun,12,1,3/9/2020,
3,Lagos,20,1,3/17/2020,
4,Ekiti,21,1,3/18/2020,
5,Lagos,21,4,3/18/2020,
6,Lagos,22,3,3/19/2020,
7,Ogun,23,1,3/20/2020,
8,Lagos,24,7,3/21/2020,
9,FCT,24,3,3/21/2020,
10,Lagos,25,6,3/22/2020,
11,FCT,25,1,3/22/2020,
12,Oyo,25,1,3/22/2020,
13,Lagos,26,6,3/23/2020,
14,FCT,26,3,3/23/2020,
15,Edo,26,1,3/23/2020,
16,Lagos,27,1,3/24/2020,
17,FCT,27,1,3/24/2020,
18,Ogun,27,1,3/24/2020,
19,Bauchi,27,1,3/24/2020,
20,Lagos,28,3,3/25/2020,
21,FCT,28,2,3/25/2020,
22,Osun,28,1,3/25/2020,
23,Rivers,28,1,3/25/2020,
24,Lagos,29,12,3/26/2020,
25,Bauchi,29,1,3/26/2020,
26,FCT,29,1,3/26/2020,
27,Lagos,30,8,3/27/2020,
28,Enugu,30,2,3/27/2020,
29,FCT,30,3,3/27/2020,
30,Edo,30,1,3/27/2020,
31,Oyo,30,2,3/27/2020,
32,Oyo,31,4,3/28/2020,
33,Benue,31,1,3/28/2020,
34,Osun,31,1,3/28/2020,
35,FCT,31,2,3/28/2020,
36,Kaduna,31,1,3/28/2020,
37,Lagos,31,7,3/28/2020,
38,Lagos,32,9,3/29/2020,
39,FCT,32,5,3/29/2020,
40,FCT,33,4,3/30/2020,
41,Lagos,33,13,3/30/2020,
42,Oyo,33,1,3/30/2020,
43,Kaduna,33,2,3/30/2020,
44,Osun,34,3,3/31/2020,
45,Ogun,34,1,3/31/2020,
46,Lagos,34,1,3/31/2020,
47,FCT,34,3,3/31/2020,
48,Osun,35,9,4/1/2020,
49,Edo,35,2,4/1/2020,
50,Ekiti,35,1,4/1/2020,
51,Lagos,35,9,4/1/2020,
52,FCT,35,7,4/1/2020,
53,Bauchi,35,1,4/1/2020,
54,Kaduna,35,1,4/1/2020,
55,A.Ibom ,35,5,4/1/2020,
56,Lagos,36,7,4/2/2020,
57,FCT,36,3,4/2/2020,
58,Osun,37,6,4/3/2020,
59,Lagos,37,11,4/3/2020,
60,FCT,37,3,4/3/2020,
61,Edo,37,3,4/3/2020,
62,Ondo,37,1,4/3/2020,
63,Oyo,37,1,4/3/2020,
64,Bauchi,38,3,4/4/2020,
65,FCT,38,2,4/4/2020,
66,Lagos,39,11,4/5/2020,
67,FCT,39,4,4/5/2020,
68,Edo,39,2,4/5/2020,
69,Kaduna,39,1,4/5/2020,
70,Kwara,40,2,4/6/2020,
71,Edo,40,2,4/6/2020,
72,Rivers,40,1,4/6/2020,
73,FCT,40,1,4/6/2020,
75,Lagos,41,10,4/7/2020,
76,FCT,41,2,4/7/2020,
77,Oyo,41,2,4/7/2020,
78,Delta,41,1,4/7/2020,
79,Katsina,41,1,4/7/2020,
80,Lagos,42,15,4/8/2020,
81,FCT,42,4,4/8/2020,
82,Edo,42,1,4/8/2020,
83,Delta,43,1,4/9/2020,
84,Lagos,43,13,4/9/2020,
85,Lagos,44,5,4/10/2020,
86,Ogun,44,3,4/10/2020,
87,FCT,44,2,4/10/2020,
88,Katsina,44,3,4/10/2020,
89,Kaduna,44,1,4/10/2020,
90,Ondo,44,1,4/10/2020,
91,Niger,44,1,4/10/2020,
92,Anambra,44,1,4/10/2020,
93,Lagos,45,11,4/11/2020,
94,Delta,45,1,4/11/2020,
95,Kano,45,1,4/11/2020,
96,Lagos,46,2,4/12/2020,
97,Katsina,46,1,4/12/2020,
98,Kwara,46,2,4/12/2020,
99,Lagos,47,13,4/13/2020,
100,Kano,47,2,4/13/2020,
101,Ondo,47,1,4/13/2020,
102,Ogun,47,2,4/13/2020,
103,Edo,47,2,4/13/2020,
104,Lagos,48,14,4/14/2020,
105,Kano,48,1,4/14/2020,
106,Edo,48,1,4/14/2020,
107,FCT,48,2,4/14/2020,
108,A.Ibom ,48,1,4/14/2020,
109,Lagos,49,18,4/15/2020,
110,Kano,49,12,4/15/2020,
111,Katsina,49,2,4/15/2020,
112,Delta,49,1,4/15/2020,
113,Niger,49,1,4/15/2020,
114,Lagos,50,19,4/16/2020,
115,FCT,50,2,4/16/2020,
116,Kano,50,5,4/16/2020,
117,Oyo,50,2,4/16/2020,
118,Lagos,51,32,4/17/2020,
119,Kano,51,6,4/17/2020,
120,Kwara,51,5,4/17/2020,
121,FCT,51,2,4/17/2020,
122,Oyo,51,2,4/17/2020,
123,Katsina,51,2,4/17/2020,
124,Ogun,51,1,4/17/2020,
125,Ekiti,51,1,4/17/2020,
126,Lagos,52,23,4/18/2020,
127,FCT,52,12,4/18/2020,
128,Kano,52,10,4/18/2020,
129,Ogun,52,2,4/18/2020,
130,Oyo,52,1,4/18/2020,
131,Lagos,53,70,4/19/2020,
132,FCT,53,7,4/19/2020,
133,Katsina,53,3,4/19/2020,
108,A.Ibom ,53,1,4/19/2020,
109,Bauchi,53,1,4/19/2020,
110,Jigawa ,53,1,4/19/2020,
111,Borno,53,1,4/19/2020,
113,Gombe,54,5,4/20/2020,
114,Kaduna,54,3,4/20/2020,
115,Borno,54,2,4/20/2020,
116,Abia,54,2,4/20/2020,
117,FCT,54,1,4/20/2020,
118,Ekiti,54,1,4/20/2020,
119,Sokoto,54,1,4/20/2020,
123,Lagos,55,54,4/21/2020,
124,FCT,55,29,4/21/2020,
125,Kano,55,14,4/21/2020,
126,Borno,55,6,4/21/2020,
127,Katsina,55,4,4/21/2020,
128,Ogun,55,3,4/21/2020,
129,Bauchi,55,1,4/21/2020,
130,Rivers,55,1,4/21/2020,
132,Lagos,56,74,4/22/2020,
133,Katsina,56,5,4/22/2020,
134,Ogun,56,4,4/22/2020,
135,Delta,56,2,4/22/2020,
136,Edo,56,2,4/22/2020,
137,Kwara,56,1,4/22/2020,
138,Oyo,56,1,4/22/2020,
139,FCT,56,1,4/22/2020,
140,Adamawa,56,1,4/22/2020,
141,Lagos,57,78,4/23/2020,
142,FCT,57,14,4/23/2020,
143,Ogun,57,5,4/23/2020,
144,Gombe,57,4,4/23/2020,
145,Borno,57,3,4/23/2020,
146,A.Ibom ,57,2,4/23/2020,
147,Kwara,57,1,4/23/2020,
148,Plateau,57,1,4/23/2020,
149,Lagos,58,75,4/24/2020,
150,Gombe,58,21,4/24/2020,
151,FCT,58,5,4/24/2020,
152,Zamfara,58,2,4/24/2020,
153,Edo,58,2,4/24/2020,
154,Ogun,58,6,4/24/2020,
155,Oyo,58,1,4/24/2020,
156,Kaduna,58,1,4/24/2020,
157,Sokoto,58,1,4/24/2020,
158,Lagos,59,33,4/25/2020,
159,Borno,59,18,4/25/2020,
160,Osun,59,12,4/25/2020,
161,Katsina,59,9,4/25/2020,
162,Kano,59,4,4/25/2020,
163,Ekiti,59,4,4/25/2020,
164,Edo,59,3,4/25/2020,
165,Bauchi,59,3,4/25/2020,
166,Imo,59,1,4/25/2020,
169,Lagos,60,43,4/26/2020,
170,Sokoto,60,8,4/26/2020,
171,Taraba,60,6,4/26/2020,
172,Kaduna,60,5,4/26/2020,
173,Gombe,60,5,4/26/2020,
174,Ondo,60,3,4/26/2020,
175,FCT,60,3,4/26/2020,
176,Edo,60,3,4/26/2020,
177,Oyo,60,3,4/26/2020,
178,Rivers,60,3,4/26/2020,
179,Bauchi,60,3,4/26/2020,
180,Osun,60,2,4/26/2020,
181,A.Ibom ,60,1,4/26/2020,
182,Bayelsa,60,1,4/26/2020,
183,Ebonyi,60,1,4/26/2020,
184,Kebbi,60,1,4/26/2020,
187,Lagos,61,34,4/27/2020,
188,FCT,61,15,4/27/2020,
189,Borno,61,11,4/27/2020,
190,Taraba,61,2,4/27/2020,
191,Gombe,61,2,4/27/2020,
192,Lagos,62,80,4/28/2020,
193,Kano,62,38,4/28/2020,
194,Ogun,62,15,4/28/2020,
195,Bauchi,62,15,4/28/2020,
196,Borno,62,12,4/28/2020,
197,Gombe,62,9,4/28/2020,
198,Sokoto,62,9,4/28/2020,
199,Edo,62,5,4/28/2020,
200,Jigawa ,62,5,4/28/2020,
201,Zamfara,62,2,4/28/2020,
202,Rivers,62,1,4/28/2020,
203,Enugu,62,1,4/28/2020,
204,Delta,62,1,4/28/2020,
205,FCT,62,1,4/28/2020,
206,Nasarawa,62,1,4/28/2020,
207,Lagos,63,87,4/29/2020,
208,Kano,63,24,4/29/2020,
209,Gombe,63,18,4/29/2020,
210,Kaduna,63,17,4/29/2020,
211,FCT,63,17,4/29/2020,
212,Katsina,63,10,4/29/2020,
213,Sokoto,63,8,4/29/2020,
214,Edo,63,7,4/29/2020,
215,Borno,63,6,4/29/2020,
216,Yobe,63,1,4/29/2020,
217,Ebonyi,63,1,4/29/2020,
218,Adamawa,63,1,4/29/2020,
219,Lagos,64,45,4/30/2020,
220,Kano,64,80,4/30/2020,
221,Gombe,64,12,4/30/2020,
222,Sokoto,64,9,4/30/2020,
223,Bauchi,64,7,4/30/2020,
224,Edo,64,7,4/30/2020,
225,Borno,64,7,4/30/2020,
226,Rivers,64,6,4/30/2020,
227,Ogun,64,6,4/30/2020,
228,FCT,64,4,4/30/2020,
229,A.Ibom ,64,4,4/30/2020,
230,Bayelsa,64,4,4/30/2020,
231,Kaduna,64,3,4/30/2020,
232,Oyo,64,2,4/30/2020,
233,Delta,64,2,4/30/2020,
234,Nasarawa,64,2,4/30/2020,
235,Ondo,64,1,4/30/2020,
236,Kebbi,64,1,4/30/2020,
237,Lagos,65,30,5/1/2020,
238,Kano,65,92,5/1/2020,
239,FCT,65,36,5/1/2020,
240,Gombe,65,16,5/1/2020,
241,Bauchi,65,10,5/1/2020,
242,Delta,65,8,5/1/2020,
243,Oyo,65,6,5/1/2020,
244,Zamfara,65,5,5/1/2020,
245,Sokoto,65,5,5/1/2020,
246,Ondo,65,4,5/1/2020,
247,Nasarawa,65,4,5/1/2020,
248,Kwara,65,3,5/1/2020,
249,Edo,65,3,5/1/2020,
250,Ekiti,65,3,5/1/2020,
251,Borno,65,3,5/1/2020,
252,Yobe,65,3,5/1/2020,
253,Adamawa,65,2,5/1/2020,
254,Niger,65,1,5/1/2020,
255,Imo,65,1,5/1/2020,
256,Ebonyi,65,1,5/1/2020,
257,Rivers,65,1,5/1/2020,
258,Enugu,65,1,5/1/2020,
259,Lagos,66,62,5/2/2020,
260,FCT,66,52,5/2/2020,
261,Kaduna,66,31,5/2/2020,
262,Sokoto,66,13,5/2/2020,
263,Kebbi,66,10,5/2/2020,
264,Yobe,66,9,5/2/2020,
265,Borno,66,6,5/2/2020,
266,Edo,66,5,5/2/2020,
267,Bauchi,66,5,5/2/2020,
268,Gombe,66,4,5/2/2020,
269,Enugu,66,4,5/2/2020,
270,Oyo,66,4,5/2/2020,
271,Zamfara,66,3,5/2/2020,
272,Nasarawa,66,2,5/2/2020,
273,Osun,66,2,5/2/2020,
274,Ebonyi,66,2,5/2/2020,
275,Kwara,66,2,5/2/2020,
276,Kano,66,2,5/2/2020,
277,Plateau,66,2,5/2/2020,
278,Lagos,67,39,5/3/2020,
279,Kano,67,29,5/3/2020,
280,Ogun,67,24,5/3/2020,
281,Bauchi,67,18,5/3/2020,
282,Kaduna,67,15,5/3/2020,
283,FCT,67,12,5/3/2020,
284,Sokoto,67,12,5/3/2020,
285,Katsina,67,8,5/3/2020,
286,Borno,67,7,5/3/2020,
287,Nasarawa,67,3,5/3/2020,
288,Adamawa,67,2,5/3/2020,
289,Oyo,67,1,5/3/2020,
290,Lagos,68,76,5/4/2020,
